Code,Name,TIB Core,German Description,English Description
3.3b,Kirchengeschichte: Mittelalter,False,"""Kirchengeschichte: Mittelalter"" befasst sich mit der Entwicklung der christlichen Kirche im europäischen Mittelalter (ca. 500–1500 n. Chr.). Dieser Zeitraum umfasst zentrale Themen wie die Ausbreitung des Christentums, die Rolle der Kirche in Gesellschaft und Politik, die Entstehung von Klöstern und Orden, die Kreuzzüge, die Auseinandersetzungen zwischen Papsttum und Kaisertum sowie theologische und kirchliche Reformbewegungen. Die Kirchengeschichte des Mittelalters zeigt, wie die Kirche als prägende Institution das kulturelle, geistige und soziale Leben Europas beeinflusste.","""Church History: Middle Ages"" focuses on the development of the Christian Church in medieval Europe (approx. 500–1500 AD). This period covers key themes such as the spread of Christianity, the role of the Church in society and politics, the rise of monasteries and religious orders, the Crusades, the conflicts between the papacy and the empire, as well as theological and ecclesiastical reform movements. The church history of the Middle Ages illustrates how the Church, as a formative institution, influenced the cultural, intellectual, and social life of Europe."
3.3c,Kirchengeschichte: Neuzeit,False,"Die Kirchengeschichte der Neuzeit beschäftigt sich mit der Entwicklung der christlichen Kirchen vom 16. Jahrhundert bis zur Gegenwart. Sie umfasst zentrale Ereignisse wie die Reformation, die Gegenreformation, die Aufklärung, die Säkularisation sowie die Herausforderungen durch Modernisierung, Nationalismus und Globalisierung. Besonderes Augenmerk liegt auf den theologischen, politischen und sozialen Einflüssen, die das Christentum in dieser Epoche geprägt haben.","Church History of the Modern Era focuses on the development of Christian churches from the 16th century to the present. It covers key events such as the Reformation, the Counter-Reformation, the Enlightenment, secularization, and the challenges posed by modernization, nationalism, and globalization. Special attention is given to the theological, political, and social influences that have shaped Christianity during this period."
3.4a,"Systematische Theologie (Allgemeines), Fundamentaltheologie",False,"Systematische Theologie (Allgemeines) und Fundamentaltheologie sind zentrale Disziplinen der Theologie, die sich mit der strukturierten Darstellung und Begründung des christlichen Glaubens befassen. Die Systematische Theologie umfasst die systematische Reflexion und Darstellung der Glaubenslehre, während die Fundamentaltheologie die Grundlagen des Glaubens, seine Vernunftgemäßheit und seine Glaubwürdigkeit untersucht. Beide Disziplinen zielen darauf ab, den Glauben in einen Dialog mit Philosophie, Wissenschaft und Kultur zu bringen.","Systematic Theology (General) and Fundamental Theology are core disciplines of theology that focus on the structured presentation and justification of the Christian faith. Systematic Theology involves the systematic reflection and exposition of doctrinal teachings, while Fundamental Theology explores the foundations of faith, its rationality, and its credibility. Both disciplines aim to engage faith in dialogue with philosophy, science, and culture."
3.4b,Dogmatik,False,"Dogmatik ist ein zentraler Bereich der Theologie, der sich systematisch mit den grundlegenden Lehren und Glaubenssätzen einer Religion, insbesondere des Christentums, auseinandersetzt. Sie analysiert und strukturiert zentrale Themen wie Gotteslehre, Christologie, Soteriologie und Ekklesiologie, um ein kohärentes Verständnis des Glaubens zu schaffen. Dogmatik dient dazu, die Offenbarung Gottes in Schrift und Tradition zu interpretieren und für die Gegenwart relevant zu machen.","Dogmatics is a core discipline within theology that systematically examines the fundamental doctrines and beliefs of a religion, particularly Christianity. It analyzes and structures key themes such as the doctrine of God, Christology, soteriology, and ecclesiology to create a coherent understanding of faith. Dogmatics aims to interpret God’s revelation in scripture and tradition and make it relevant for the present day."
3.4c,"Theologische Anthropologie, Christliche Ethik",False,"*Theologische Anthropologie, Christliche Ethik* ist ein theologisches Fach, das sich mit dem Verständnis des Menschen aus christlicher Perspektive beschäftigt. Es untersucht die Natur, Würde und Bestimmung des Menschen in Bezug auf Gott, Schöpfung und Erlösung. Gleichzeitig befasst es sich mit den moralischen und ethischen Grundsätzen, die sich aus dieser theologischen Sicht ergeben, und deren Anwendung auf individuelle und gesellschaftliche Fragestellungen.","*Theological Anthropology, Christian Ethics* is a theological discipline that explores the understanding of humanity from a Christian perspective. It examines the nature, dignity, and purpose of humans in relation to God, creation, and salvation. At the same time, it addresses the moral and ethical principles derived from this theological framework and their application to individual and societal issues."
3.5,Praktische Theologie,False,"Praktische Theologie ist eine Disziplin der Theologie, die sich mit der Anwendung theologischer Erkenntnisse in der Praxis des Glaubenslebens beschäftigt. Sie umfasst Bereiche wie Seelsorge, Liturgie, Predigtlehre, Religionspädagogik und Gemeindeaufbau. Ihr Ziel ist es, Theorie und Praxis zu verbinden, um das kirchliche Handeln und das geistliche Leben der Gläubigen zu fördern und zu reflektieren.","Practical Theology is a discipline within theology that focuses on the application of theological insights in the practice of faith. It includes areas such as pastoral care, liturgy, homiletics, religious education, and community building. Its aim is to bridge theory and practice, fostering and reflecting on church activities and the spiritual lives of believers."
3.5a,"Liturgik, Frömmigkeit",False,"Liturgik und Frömmigkeit sind zentrale Themen der theologischen Forschung, die sich mit der Gestaltung und Bedeutung von Gottesdiensten sowie der persönlichen und gemeinschaftlichen Spiritualität beschäftigen. Die Liturgik erforscht die Struktur, Symbolik und historische Entwicklung liturgischer Handlungen, während die Frömmigkeit die individuelle und kollektive Glaubenspraxis sowie die emotionale und spirituelle Hingabe an Gott untersucht. Beide Bereiche sind eng miteinander verbunden und spielen eine wichtige Rolle im religiösen Leben und in der Theologie.","Liturgy and piety are central subjects of theological research, focusing on the design and significance of worship services as well as personal and communal spirituality. Liturgy explores the structure, symbolism, and historical development of liturgical practices, while piety examines individual and collective faith practices, along with emotional and spiritual devotion to God. Both areas are closely interconnected and play a significant role in religious life and theology."
3.5ba,Homiletik,False,"Homiletik ist die theologische Disziplin, die sich mit der Theorie und Praxis der Predigt befasst. Sie untersucht die Grundlagen, Methoden und Ziele der Verkündigung im kirchlichen Kontext und unterstützt Prediger dabei, ihre Botschaft klar, ansprechend und theologisch fundiert zu vermitteln.","Homiletics is the theological discipline concerned with the theory and practice of preaching. It explores the principles, methods, and goals of delivering sermons within a religious context, helping preachers communicate their message clearly, engagingly, and with theological depth."
3.5bb,"Katechetik, Christliche Erziehung, Kirchliche Bildungsarbeit",False,"""Katechetik, Christliche Erziehung, Kirchliche Bildungsarbeit"" ist ein theologisches Fach, das sich mit der Vermittlung des christlichen Glaubens, der religiösen Bildung und der pädagogischen Arbeit in kirchlichen Kontexten befasst. Es umfasst die theoretischen Grundlagen sowie praktische Methoden der Glaubensvermittlung, insbesondere in der Kinder- und Jugendarbeit, aber auch in der Erwachsenenbildung. Ziel ist es, Glauben verständlich und lebensnah zu vermitteln und die spirituelle Entwicklung in verschiedenen Lebensphasen zu fördern.","""Catechetics, Christian Education, Ecclesiastical Educational Work"" is a theological discipline focused on the communication of the Christian faith, religious education, and pedagogical activities within church contexts. It encompasses both theoretical foundations and practical methods of faith formation, particularly in children's and youth ministry, as well as adult education. The aim is to convey faith in an understandable and relatable way, fostering spiritual development across different stages of life."
3.5ca,Seelsorge,False,"Seelsorge bezeichnet die geistliche Begleitung und Unterstützung von Menschen in verschiedenen Lebenssituationen, oft in religiösem oder kirchlichem Kontext. Sie umfasst Gespräche, Beratung, Trost und spirituelle Orientierung, um individuelle Herausforderungen, Krisen oder Glaubensfragen zu bewältigen. Seelsorger arbeiten häufig in Gemeinden, Krankenhäusern, Gefängnissen oder anderen Einrichtungen, um Menschen seelisch und geistlich zu stärken.","Seelsorge, or pastoral care, refers to the spiritual guidance and support provided to individuals in various life situations, often within a religious or church context. It involves conversations, counseling, comfort, and spiritual direction to help people navigate personal challenges, crises, or questions of faith. Pastoral caregivers often work in communities, hospitals, prisons, or other institutions to offer emotional and spiritual strength to those in need."
3.5cb,"Mission, Kirchliche Sozialarbeit",False,"Das Fach ""Mission, Kirchliche Sozialarbeit"" befasst sich mit der theologischen und praktischen Dimension der kirchlichen Mission sowie der sozialen Arbeit im kirchlichen Kontext. Es umfasst die Analyse und Gestaltung von missionarischen und sozialen Aktivitäten, die auf die Verkündigung des Evangeliums und die Unterstützung benachteiligter Menschen ausgerichtet sind. Dabei werden historische, ethische und soziologische Aspekte berücksichtigt, um eine ganzheitliche Sicht auf die Rolle der Kirche in der Gesellschaft zu entwickeln.","The subject ""Mission, Church Social Work"" explores the theological and practical dimensions of church mission and social work within a religious context. It involves the analysis and design of missionary and social activities aimed at proclaiming the Gospel and supporting disadvantaged individuals. Historical, ethical, and sociological aspects are considered to develop a holistic understanding of the church's role in society."
3.6,Kirche und Konfession,False,"Das Fach ""Kirche und Konfession"" befasst sich mit der Geschichte, Theologie und Struktur verschiedener christlicher Konfessionen sowie deren Rolle in Gesellschaft und Kultur. Es untersucht die Entstehung und Entwicklung von Kirchen, die Unterschiede zwischen Konfessionen wie Katholizismus, Protestantismus und Orthodoxie sowie deren Einfluss auf historische und zeitgenössische Ereignisse. Das Fach verbindet theologische, historische und soziologische Perspektiven, um ein umfassendes Verständnis des christlichen Glaubens und seiner institutionellen Ausprägungen zu fördern.","The subject ""Church and Denomination"" explores the history, theology, and structure of various Christian denominations as well as their role in society and culture. It examines the origins and development of churches, the differences between denominations such as Catholicism, Protestantism, and Orthodoxy, and their influence on historical and contemporary events. The discipline combines theological, historical, and sociological perspectives to foster a comprehensive understanding of the Christian faith and its institutional expressions."
3.6a,Katholische Kirche,False,"Die Katholische Kirche, auch bekannt als Römisch-Katholische Kirche, ist die größte christliche Glaubensgemeinschaft weltweit. Sie beruft sich auf die Traditionen und Lehren Jesu Christi, wie sie durch die Apostel überliefert wurden, und erkennt den Papst in Rom als ihr geistliches Oberhaupt an. Die Kirche ist geprägt durch ihre Sakramente, liturgischen Feiern und hierarchische Struktur, die Bischöfe, Priester und Diakone umfasst. Sie spielt eine zentrale Rolle in der Geschichte, Kultur und Ethik Europas und darüber hinaus.","The Catholic Church, also known as the Roman Catholic Church, is the largest Christian denomination in the world. It is rooted in the teachings and traditions of Jesus Christ as passed down through the apostles and recognizes the Pope in Rome as its spiritual leader. The Church is characterized by its sacraments, liturgical celebrations, and hierarchical structure, which includes bishops, priests, and deacons. It has played a central role in the history, culture, and ethics of Europe and beyond."
3.6b,Evangelische Kirchen,False,"Die Evangelische Kirchen beschäftigen sich mit der Geschichte, Theologie, Struktur und Praxis der protestantischen Kirchen, die aus der Reformation im 16. Jahrhundert hervorgegangen sind. Das Fach umfasst die Untersuchung von Glaubensgrundsätzen, liturgischen Traditionen, kirchlichen Institutionen sowie die Rolle der evangelischen Kirchen in Gesellschaft und Kultur. Es bezieht auch ökumenische Beziehungen und aktuelle Herausforderungen wie Modernisierung und Säkularisierung ein.","Evangelische Kirchen (Protestant Churches) focuses on the history, theology, structure, and practices of Protestant churches that emerged from the Reformation in the 16th century. The subject explores core beliefs, liturgical traditions, church institutions, and the role of Protestant churches in society and culture. It also includes ecumenical relations and contemporary challenges such as modernization and secularization."
3.6c,Ostkirchen und andere christliche Religionsgemeinschaften und Sekten,False,"Das Fach ""Ostkirchen und andere christliche Religionsgemeinschaften und Sekten"" befasst sich mit der Erforschung der östlichen christlichen Kirchen, wie den orthodoxen und orientalisch-orthodoxen Kirchen, sowie mit anderen christlichen Glaubensgemeinschaften und Sekten. Es untersucht deren Geschichte, Theologie, Liturgie, spirituelle Praktiken und ihre Beziehungen zu anderen christlichen Konfessionen. Besonderes Augenmerk liegt auf der Rolle dieser Gemeinschaften in kulturellen, politischen und sozialen Kontexten sowie auf ihren Einfluss auf die globale christliche Landschaft.","The subject ""Eastern Churches and Other Christian Religious Communities and Sects"" focuses on the study of Eastern Christian churches, such as the Orthodox and Oriental Orthodox Churches, as well as other Christian religious groups and sects. It explores their history, theology, liturgy, spiritual practices, and their relationships with other Christian denominations. Special attention is given to the role of these communities in cultural, political, and social contexts, as well as their influence on the global Christian landscape."
4.1,Philosophie (Allgemeines),False,"""Philosophie (Allgemeines)"" befasst sich mit den grundlegenden Fragen des menschlichen Denkens, Seins und Handelns. Sie untersucht Themen wie Ethik, Erkenntnistheorie, Metaphysik, Logik und die Natur der Realität. Diese Disziplin zielt darauf ab, ein tieferes Verständnis der Welt, des Menschen und seiner Rolle in der Gesellschaft zu entwickeln, indem sie kritische Reflexion und systematische Argumentation fördert.","""Philosophy (General)"" deals with the fundamental questions of human thought, existence, and action. It explores topics such as ethics, epistemology, metaphysics, logic, and the nature of reality. This discipline aims to develop a deeper understanding of the world, humanity, and our role in society by promoting critical reflection and systematic reasoning."
4.2,Philosophiegeschichte,False,"Philosophiegeschichte ist das Studium der Entwicklung philosophischer Ideen, Theorien und Denksysteme im Laufe der Zeit. Es untersucht die Werke bedeutender Philosophen, ihre Einflüsse und die historischen Kontexte, in denen sie entstanden sind. Diese Disziplin ermöglicht ein tieferes Verständnis der philosophischen Traditionen und ihrer Auswirkungen auf Kultur, Wissenschaft und Gesellschaft.","Philosophy of history, or ""Philosophiegeschichte,"" is the study of the evolution of philosophical ideas, theories, and systems of thought over time. It explores the works of significant philosophers, their influences, and the historical contexts in which they emerged. This discipline provides a deeper understanding of philosophical traditions and their impact on culture, science, and society."
4.3,"Erkenntnistheorie, Logik",False,"Erkenntnistheorie und Logik sind zentrale Disziplinen der Philosophie. Die Erkenntnistheorie befasst sich mit der Natur, den Quellen und den Grenzen menschlichen Wissens. Sie untersucht Fragen wie: Was können wir wissen? Wie erlangen wir Wissen? Die Logik hingegen ist die Wissenschaft des korrekten Schließens und Argumentierens. Sie analysiert die Struktur von Argumenten und entwickelt formale Systeme, um die Gültigkeit von Schlussfolgerungen zu überprüfen. Beide Disziplinen sind eng miteinander verbunden und bilden die Grundlage für rationales Denken und wissenschaftliche Methodik.","Epistemology and logic are core disciplines in philosophy. Epistemology deals with the nature, sources, and limits of human knowledge. It explores questions such as: What can we know? How do we acquire knowledge? Logic, on the other hand, is the science of correct reasoning and argumentation. It analyzes the structure of arguments and develops formal systems to evaluate the validity of conclusions. Both disciplines are closely interconnected and form the foundation for rational thinking and scientific methodology."
4.4,Metaphysik,False,"Metaphysik ist ein zentraler Bereich der Philosophie, der sich mit den grundlegenden Fragen der Wirklichkeit und Existenz beschäftigt. Sie untersucht die Natur des Seins, die Struktur der Realität, das Verhältnis zwischen Geist und Materie sowie Ursprung und Sinn des Universums. Traditionell umfasst sie Themen wie Ontologie (die Lehre vom Seienden), Kosmologie (die Lehre vom Universum) und Theologie (die Lehre von Gott). Metaphysik geht oft über die empirische Wissenschaft hinaus und sucht nach universellen Prinzipien und letztgültigen Erklärungen.","Metaphysics is a core area of philosophy that deals with fundamental questions about reality and existence. It explores the nature of being, the structure of reality, the relationship between mind and matter, and the origin and purpose of the universe. Traditionally, it encompasses topics such as ontology (the study of being), cosmology (the study of the universe), and theology (the study of God). Metaphysics often goes beyond empirical science, seeking universal principles and ultimate explanations."
4.5,"Ethik, Philosophische Anthropologie, Sozialphilosophie",False,"Das Fach ""Ethik, Philosophische Anthropologie, Sozialphilosophie"" befasst sich mit grundlegenden Fragen des menschlichen Lebens und Zusammenlebens. Die Ethik untersucht moralische Prinzipien und Handlungsnormen, während die Philosophische Anthropologie das Wesen des Menschen und seine Stellung in der Welt erforscht. Die Sozialphilosophie analysiert Strukturen und Dynamiken gesellschaftlicher Beziehungen sowie Fragen der Gerechtigkeit, Freiheit und Gemeinschaft. Zusammen bilden diese Disziplinen ein umfassendes Verständnis des menschlichen Handelns und der menschlichen Existenz.","The subject ""Ethics, Philosophical Anthropology, Social Philosophy"" deals with fundamental questions of human life and coexistence. Ethics examines moral principles and norms of action, while Philosophical Anthropology explores the nature of humans and their place in the world. Social Philosophy analyzes the structures and dynamics of societal relationships, as well as issues of justice, freedom, and community. Together, these disciplines provide a comprehensive understanding of human action and existence."
4.6,Ästhetik,False,"Ästhetik ist ein Teilgebiet der Philosophie, das sich mit der Natur von Schönheit, Kunst und Geschmack beschäftigt. Sie untersucht, wie wir ästhetische Erfahrungen machen, wie wir Kunstwerke wahrnehmen und bewerten, sowie die Prinzipien, die unserer ästhetischen Urteilsbildung zugrunde liegen. Ästhetik umfasst sowohl theoretische Überlegungen als auch praktische Fragen zur Rolle von Kunst und Schönheit in der menschlichen Kultur.","Aesthetics is a branch of philosophy that deals with the nature of beauty, art, and taste. It explores how we experience aesthetic phenomena, how we perceive and evaluate artworks, and the principles underlying our aesthetic judgments. Aesthetics encompasses both theoretical reflections and practical questions about the role of art and beauty in human culture."
4.7,Kulturphilosophie,False,"Kulturphilosophie ist ein Teilgebiet der Philosophie, das sich mit der Reflexion über die Entstehung, Bedeutung und Entwicklung von Kultur beschäftigt. Sie untersucht die grundlegenden Prinzipien, Werte und Strukturen, die menschliche Kulturen prägen, sowie das Verhältnis des Individuums zur Kultur. Dabei werden Fragen nach dem Wesen der Kultur, ihrer Rolle in der menschlichen Existenz und ihrem Einfluss auf Gesellschaft, Kunst, Sprache und Technik gestellt. Kulturphilosophie verbindet dabei oft anthropologische, historische und ästhetische Perspektiven.","Cultural philosophy is a branch of philosophy that deals with the reflection on the origins, meaning, and development of culture. It explores the fundamental principles, values, and structures that shape human cultures, as well as the relationship between the individual and culture. It addresses questions about the nature of culture, its role in human existence, and its influence on society, art, language, and technology. Cultural philosophy often combines anthropological, historical, and aesthetic perspectives."
5.1a,"Psychologie (Allgemeines), Experimentelle Psychologie",False,"Die 'Psychologie (Allgemeines), Experimentelle Psychologie' beschäftigt sich mit der wissenschaftlichen Erforschung menschlichen Verhaltens und Erlebens. Sie umfasst die Grundlagen der Psychologie sowie die Anwendung experimenteller Methoden, um psychologische Phänomene systematisch zu untersuchen. Dabei werden kontrollierte Experimente durchgeführt, um Hypothesen zu testen und kausale Zusammenhänge zu identifizieren.","'Psychology (General), Experimental Psychology' focuses on the scientific study of human behavior and mental processes. It covers the fundamentals of psychology and the application of experimental methods to systematically investigate psychological phenomena. Controlled experiments are conducted to test hypotheses and identify causal relationships."
5.1b,"Psychologische Diagnostik, Tests",False,"Das Fach „Psychologische Diagnostik, Tests“ befasst sich mit der Entwicklung, Anwendung und Auswertung psychologischer Testverfahren zur Messung von Persönlichkeitsmerkmalen, kognitiven Fähigkeiten, emotionalen Zuständen und Verhaltensweisen. Es umfasst die theoretischen Grundlagen der Testkonstruktion, Gütekriterien wie Reliabilität und Validität sowie ethische Aspekte der Diagnostik. Ziel ist es, fundierte Aussagen über individuelle oder gruppenbezogene psychologische Merkmale zu treffen, die in klinischen, pädagogischen oder beruflichen Kontexten eingesetzt werden können.","The subject ""Psychological Diagnostics, Tests"" focuses on the development, application, and interpretation of psychological tests designed to measure personality traits, cognitive abilities, emotional states, and behaviors. It covers the theoretical foundations of test construction, quality criteria such as reliability and validity, and ethical considerations in diagnostics. The aim is to provide well-founded insights into individual or group-related psychological characteristics, which can be applied in clinical, educational, or occupational contexts."
5.2,"Entwicklungspsychologie, Vergleichende Psychologie",False,"Entwicklungspsychologie und Vergleichende Psychologie sind zwei zentrale Bereiche der Psychologie. Die Entwicklungspsychologie beschäftigt sich mit der Erforschung der psychischen Veränderungen und Entwicklungsprozesse des Menschen über die gesamte Lebensspanne hinweg – von der Kindheit bis ins hohe Alter. Die Vergleichende Psychologie hingegen untersucht das Verhalten und die mentalen Prozesse verschiedener Tierarten im Vergleich zum Menschen, um Gemeinsamkeiten und Unterschiede zu identifizieren und evolutionäre Zusammenhänge zu verstehen. Beide Disziplinen tragen wesentlich zum Verständnis der menschlichen Natur und ihrer Entwicklung bei.","Developmental Psychology and Comparative Psychology are two core areas of psychology. Developmental Psychology focuses on the study of psychological changes and developmental processes in humans across the entire lifespan – from childhood to old age. Comparative Psychology, on the other hand, examines the behavior and mental processes of different animal species in comparison to humans, aiming to identify similarities and differences and to understand evolutionary relationships. Both disciplines contribute significantly to the understanding of human nature and its development."
